Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.417,0.398,0.468,0.402,0.319,0.233,0.063,0.085,0.272,0.233,0.201,0.249,0.274,0.293,0.26162185731698856
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,0.798,0.988,0.913,0.734,0.802,0.59,0.461,0.483,0.813,0.892,0.625,0.803,0.971,0.856,0.7086399563913873
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.263,0.332,0.444,0.762,0.236,0.2541654899745835
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.1890359168241966
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,0.261,0.306,0.271,0.294,0.173,0.245,0.021,0.107,0.34,0.056,0.202,0.371,0.35,0.48,0.3957984472522454
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,0.261,0.163,0.259,0.248,0.196,0.136,0.0,0.077,0.098,0.213,0.094,0.062,0.065,0.264,0.21431633090441493
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,0.234,0.193,0.258,0.322,0.272,0.132,0.015,0.015,0.244,0.203,0.103,0.119,0.155,0.183,0.13412316977757907
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,0.634,0.34,0.681,0.572,0.273,0.186,0.094,0.058,0.498,0.302,0.331,0.461,0.434,0.375,0.3768191268191268
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,0.561,0.547,0.854,0.617,0.52,0.217,0.045,0.03,0.267,0.31,0.178,0.327,0.261,0.247,0.34884988553363133
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,0.238,0.508,0.804,0.429,0.354,0.241,0.033,0.082,0.357,0.257,0.245,0.198,0.219,0.183,0.27486910994764396
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,0.384,0.706,0.379,0.645,0.552,0.346,0.075,0.108,0.206,0.204,0.285,0.299,0.143,0.321,0.2304147465437788
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,0.304,0.363,0.515,0.395,0.34,0.161,0.0,0.11,0.19,0.133,0.171,0.231,0.138,0.382,0.1579778830963665
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,0.332,0.233,0.248,0.228,0.088,0.17,0.028,0.079,0.128,0.168,0.023,0.022,0.174,0.14,0.12264922322158626
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,0.133,0.164,0.209,0.144,0.179,0.175,0.0,0.0,0.106,0.079,0.0,0.036,0.067,0.099,0.06534879921581441
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,0.639,0.522,0.443,0.452,0.395,0.26,0.068,0.075,0.232,0.129,0.267,0.17,0.182,0.383,0.2400384061449832
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,0.407,0.25,0.358,0.297,0.171,0.162,0.037,0.039,0.12,0.186,0.071,0.159,0.178,0.104,0.12119113573407202
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,0.262,0.133,0.111,0.214,0.144,0.255,0.015,0.047,0.085,0.137,0.04,0.105,0.05,0.137,0.15255530129672007
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.473,0.438,0.365,0.269,0.244,0.217,0.144,0.151,0.097,0.079,0.08,0.083,0.091,0.093,0.09315685285098785
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,0.568,0.529,0.478,0.397,0.254,0.399,0.141,0.074,0.104,0.102,0.061,0.106,0.104,0.225,0.09023234829686443
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,0.57,0.465,0.377,0.061,0.402,0.178,0.115,0.173,0.23,0.0,0.0,0.094,0.098,0.0,0.047892720306513405
